Register Field Name,CSV Field Name,API Field Name,HESA Alignment,Code,Label,Data Source,Academic Year,Status
Awarding Institution,Awarding Institution,institution,DEGEST,0082,The University of Chichester,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0083,The University of Westminster,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0084,Wimbledon School of Art,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0085,The University of Wolverhampton,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0086,"The University of Wales, Newport",HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0087,Glynd?r University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0088,Coleg Normal,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0089,Cardiff Metropolitan University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0090,University of South Wales,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0091,Swansea Metropolitan University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0092,Trinity University College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0095,Abertay University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0096,Edinburgh College of Art,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0097,Glasgow School of Art,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0098,Moray House Institute of Education,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0099,Northern College of Education,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0100,"Queen Margaret University, Edinburgh",HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0101,Royal Conservatoire of Scotland,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0102,St Andrew's College of Education,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0103,The Scottish College of Textiles,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0104,Robert Gordon University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0105,The University of the West of Scotland,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0106,Glasgow Caledonian University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0107,Edinburgh Napier University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0108,Aston University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0109,The University of Bath,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0110,The University of Birmingham,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0111,The University of Bradford,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0112,The University of Bristol,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0113,Brunel University London,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0114,The University of Cambridge,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0115,"City, University of London",HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0116,University of Durham,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0117,The University of East Anglia,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0118,The University of Essex,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0119,The University of Exeter,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0120,The University of Hull,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0121,Keele University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0122,The University of Kent,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0123,The University of Lancaster,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0124,The University of Leeds,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0125,The University of Leicester,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0126,The University of Liverpool,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0127,Birkbeck College,HESA,25/26,No Change
